Codice Ripartizione geografica;Codice Regione;Codice Provincia (Storico);Codice Provincia/Uts;Codice Comune (alfanumerico);Codice Comune (numerico);Comune;Comune (dizione straniera);Sigla automobilistica;Capoluogo di Provincia/Uts;Capoluogo di Regione;Popolazione legale;Anno Censimento;Superficie (Kmq);Anno (Superficie);Popolazione residente;Anno (Popolazione residente)
1;01;001;201;001067;1067;Castelnuovo Nigra;;TO;0;0;417;2011;28,3756;2016;427;2016
1;01;001;201;001068;1068;Castiglione Torinese;;TO;0;0;6363;2011;14,1345;2016;6494;2016
1;01;001;201;001069;1069;Cavagnolo;;TO;0;0;2309;2011;12,3285;2016;2330;2016
1;01;001;201;001070;1070;Cavour;;TO;0;0;5568;2011;48,9591;2016;5498;2016
1;01;001;201;001071;1071;Cercenasco;;TO;0;0;1857;2011;13,1595;2016;1794;2016
1;01;001;201;001072;1072;Ceres;;TO;0;0;1056;2011;28,0516;2016;1060;2016
1;01;001;201;001073;1073;Ceresole Reale;;TO;0;0;159;2011;99,8147;2016;160;2016
1;01;001;201;001074;1074;Cesana Torinese;;TO;0;0;1007;2011;121,7001;2016;968;2016
1;01;001;201;001075;1075;Chialamberto;;TO;0;0;364;2011;35,4478;2016;353;2016
1;01;001;201;001076;1076;Chianocco;;TO;0;0;1700;2011;18,6134;2016;1638;2016
1;01;001;201;001077;1077;Chiaverano;;TO;0;0;2106;2011;12,0221;2016;2071;2016
1;01;001;201;001078;1078;Chieri;;TO;0;0;35962;2011;54,1975;2016;36394;2016
1;01;001;201;001079;1079;Chiesanuova;;TO;0;0;203;2011;4,1189;2016;232;2016
1;01;001;201;001080;1080;Chiomonte;;TO;0;0;932;2011;26,7549;2016;903;2016
1;01;001;201;001081;1081;Chiusa di San Michele;;TO;0;0;1691;2011;5,9165;2016;1666;2016
1;01;001;201;001082;1082;Chivasso;;TO;0;0;25914;2011;51,2378;2016;26822;2016
1;01;001;201;001083;1083;Ciconio;;TO;0;0;371;2011;3,1638;2016;389;2016
1;01;001;201;001084;1084;Cintano;;TO;0;0;261;2011;4,9345;2016;254;2016
1;01;001;201;001085;1085;Cinzano;;TO;0;0;375;2011;6,1962;2016;360;2016
1;01;001;201;001086;1086;Ciriè;;TO;0;0;18415;2011;17,7329;2016;18596;2016
1;01;001;201;001087;1087;Claviere;;TO;0;0;192;2011;2,6872;2016;223;2016
1;01;001;201;001088;1088;Coassolo Torinese;;TO;0;0;1550;2011;27,8788;2016;1528;2016
1;01;001;201;001089;1089;Coazze;;TO;0;0;3084;2011;56,5727;2016;3146;2016
1;01;001;201;001090;1090;Collegno;;TO;0;0;49083;2011;18,0993;2016;49582;2016
1;01;001;201;001091;1091;Colleretto Castelnuovo;;TO;0;0;347;2011;6,3321;2016;345;2016
1;01;001;201;001092;1092;Colleretto Giacosa;;TO;0;0;603;2011;4,5894;2016;580;2016
1;01;001;201;001093;1093;Condove;;TO;0;0;4670;2011;71,1131;2016;4619;2016
1;01;001;201;001094;1094;Corio;;TO;0;0;3330;2011;41,4914;2016;3229;2016
1;01;001;201;001095;1095;Cossano Canavese;;TO;0;0;522;2011;3,2384;2016;522;2016
1;01;001;201;001096;1096;Cuceglio;;TO;0;0;997;2011;6,8709;2016;986;2016
1;01;001;201;001097;1097;Cumiana;;TO;0;0;7825;2011;60,7335;2016;7879;2016
1;01;001;201;001098;1098;Cuorgnè;;TO;0;0;10084;2011;19,3134;2016;9785;2016
1;01;001;201;001099;1099;Druento;;TO;0;0;8436;2011;27,5395;2016;8698;2016
1;01;001;201;001100;1100;Exilles;;TO;0;0;266;2011;46,5474;2016;272;2016
1;01;001;201;001101;1101;Favria;;TO;0;0;5230;2011;14,8499;2016;5126;2016
1;01;001;201;001102;1102;Feletto;;TO;0;0;2269;2011;7,8931;2016;2300;2016
1;01;001;201;001103;1103;Fenestrelle;;TO;0;0;553;2011;49,4091;2016;529;2016
1;01;001;201;001104;1104;Fiano;;TO;0;0;2713;2011;12,0415;2016;2702;2016
1;01;001;201;001105;1105;Fiorano Canavese;;TO;0;0;837;2011;4,3457;2016;804;2016
1;01;001;201;001106;1106;Foglizzo;;TO;0;0;2331;2011;15,6427;2016;2337;2016
1;01;001;201;001107;1107;Forno Canavese;;TO;0;0;3612;2011;16,5003;2016;3438;2016
1;01;001;201;001108;1108;Frassinetto;;TO;0;0;272;2011;24,8185;2016;282;2016
1;01;001;201;001109;1109;Front;;TO;0;0;1726;2011;10,9482;2016;1652;2016
1;01;001;201;001110;1110;Frossasco;;TO;0;0;2840;2011;20,1488;2016;2853;2016
1;01;001;201;001111;1111;Garzigliana;;TO;0;0;557;2011;7,4018;2016;552;2016
1;01;001;201;001112;1112;Gassino Torinese;;TO;0;0;9536;2011;20,5108;2016;9361;2016
1;01;001;201;001113;1113;Germagnano;;TO;0;0;1256;2011;14,4442;2016;1205;2016
1;01;001;201;001114;1114;Giaglione;;TO;0;0;653;2011;33,3833;2016;629;2016
1;01;001;201;001115;1115;Giaveno;;TO;0;0;16281;2011;71,7376;2016;16375;2016
1;01;001;201;001116;1116;Givoletto;;TO;0;0;3640;2011;12,8199;2016;3972;2016
1;01;001;201;001117;1117;Gravere;;TO;0;0;715;2011;18,9870;2016;699;2016
1;01;001;201;001118;1118;Groscavallo;;TO;0;0;191;2011;92,0935;2016;204;2016
1;01;001;201;001119;1119;Grosso;;TO;0;0;1040;2011;4,3296;2016;1009;2016
1;01;001;201;001120;1120;Grugliasco;;TO;0;0;37194;2011;13,1321;2016;37316;2016
1;01;001;201;001121;1121;Ingria;;TO;0;0;49;2011;14,7506;2016;47;2016
1;01;001;201;001122;1122;Inverso Pinasca;;TO;0;0;741;2011;8,0292;2016;728;2016
1;01;001;201;001123;1123;Isolabella;;TO;0;0;393;2011;4,7716;2016;393;2016
1;01;001;201;001124;1124;Issiglio;;TO;0;0;425;2011;5,5042;2016;403;2016
1;01;001;201;001125;1125;Ivrea;;TO;0;0;23592;2011;30,1075;2016;23495;2016
1;01;001;201;001126;1126;La Cassa;;TO;0;0;1781;2011;12,0353;2016;1782;2016
1;01;001;201;001127;1127;La Loggia;;TO;0;0;8631;2011;12,7929;2016;8828;2016
1;01;001;201;001128;1128;Lanzo Torinese;;TO;0;0;5150;2011;10,2876;2016;5032;2016
1;01;001;201;001129;1129;Lauriano;;TO;0;0;1493;2011;14,2900;2016;1475;2016
1;01;001;201;001130;1130;Leini;;TO;0;0;15523;2011;32,4355;2016;16454;2016
1;01;001;201;001131;1131;Lemie;;TO;0;0;189;2011;45,6753;2016;196;2016
1;01;001;201;001132;1132;Lessolo;;TO;0;0;1982;2011;7,9366;2016;1914;2016
1;01;001;201;001133;1133;Levone;;TO;0;0;439;2011;5,3912;2016;457;2016
1;01;001;201;001134;1134;Locana;;TO;0;0;1601;2011;132,5173;2016;1474;2016
1;01;001;201;001135;1135;Lombardore;;TO;0;0;1706;2011;12,7158;2016;1741;2016
1;01;001;201;001136;1136;Lombriasco;;TO;0;0;1056;2011;7,2096;2016;1034;2016
1;01;001;201;001137;1137;Loranzè;;TO;0;0;1126;2011;4,1914;2016;1203;2016
1;01;001;201;001138;1138;Lugnacco;;TO;0;0;379;2011;4,8835;2016;348;2016
1;01;001;201;001139;1139;Luserna San Giovanni;;TO;0;0;7531;2011;17,7414;2016;7316;2016
1;01;001;201;001140;1140;Lusernetta;;TO;0;0;524;2011;7,0398;2016;500;2016
1;01;001;201;001141;1141;Lusigliè;;TO;0;0;556;2011;5,2585;2016;548;2016
1;01;001;201;001142;1142;Macello;;TO;0;0;1238;2011;14,1404;2016;1198;2016
1;01;001;201;001143;1143;Maglione;;TO;0;0;468;2011;6,3129;2016;424;2016
1;01;001;201;001144;1144;Marentino;;TO;0;0;1383;2011;11,2593;2016;1352;2016
1;01;001;201;001145;1145;Massello;;TO;0;0;58;2011;38,2587;2016;53;2016
1;01;001;201;001146;1146;Mathi;;TO;0;0;3985;2011;7,0706;2016;3920;2016
1;01;001;201;001147;1147;Mattie;;TO;0;0;707;2011;28,6942;2016;680;2016
1;01;001;201;001148;1148;Mazzè;;TO;0;0;4152;2011;27,3424;2016;4145;2016
1;01;001;201;001149;1149;Meana di Susa;;TO;0;0;880;2011;16,5439;2016;846;2016
1;01;001;201;001150;1150;Mercenasco;;TO;0;0;1267;2011;12,6383;2016;1297;2016
1;01;001;201;001151;1151;Meugliano;;TO;0;0;93;2011;4,4420;2016;81;2016
1;01;001;201;001152;1152;Mezzenile;;TO;0;0;834;2011;29,0871;2016;792;2016
1;01;001;201;001153;1153;Mombello di Torino;;TO;0;0;411;2011;4,0825;2016;411;2016
1;01;001;201;001154;1154;Mompantero;;TO;0;0;651;2011;30,3332;2016;654;2016
1;01;001;201;001155;1155;Monastero di Lanzo;;TO;0;0;381;2011;17,6554;2016;345;2016
1;01;001;201;001156;1156;Moncalieri;;TO;0;0;55875;2011;47,5288;2016;57165;2016
1;01;001;201;001157;1157;Moncenisio;;TO;0;0;42;2011;4,5007;2016;34;2016
1;01;001;201;001158;1158;Montaldo Torinese;;TO;0;0;749;2011;4,6567;2016;749;2016
1;01;001;201;001159;1159;Montalenghe;;TO;0;0;1030;2011;6,4681;2016;981;2016
1;01;001;201;001160;1160;Montalto Dora;;TO;0;0;3450;2011;7,3567;2016;3455;2016
1;01;001;201;001161;1161;Montanaro;;TO;0;0;5375;2011;20,9036;2016;5269;2016
1;01;001;201;001162;1162;Monteu da Po;;TO;0;0;901;2011;7,3896;2016;893;2016
1;01;001;201;001163;1163;Moriondo Torinese;;TO;0;0;820;2011;6,4895;2016;850;2016
1;01;001;201;001164;1164;Nichelino;;TO;0;0;47851;2011;20,5627;2016;47762;2016
1;01;001;201;001165;1165;Noasca;;TO;0;0;169;2011;78,0481;2016;130;2016
1;01;001;201;001166;1166;Nole;;TO;0;0;6910;2011;11,3530;2016;6888;2016
1;01;001;201;001167;1167;Nomaglio;;TO;0;0;312;2011;3,0743;2016;278;2016
1;01;001;201;001168;1168;None;;TO;0;0;7998;2011;24,6422;2016;8029;2016
1;01;001;201;001169;1169;Novalesa;;TO;0;0;560;2011;28,5542;2016;532;2016
1;01;001;201;001170;1170;Oglianico;;TO;0;0;1426;2011;6,3030;2016;1508;2016
1;01;001;201;001171;1171;Orbassano;;TO;0;0;22537;2011;22,2078;2016;23277;2016
1;01;001;201;001172;1172;Orio Canavese;;TO;0;0;829;2011;7,1541;2016;797;2016
1;01;001;201;001173;1173;Osasco;;TO;0;0;1124;2011;5,4885;2016;1128;2016
1;01;001;201;001174;1174;Osasio;;TO;0;0;913;2011;4,5771;2016;929;2016
1;01;001;201;001175;1175;Oulx;;TO;0;0;3160;2011;99,7857;2016;3323;2016
1;01;001;201;001176;1176;Ozegna;;TO;0;0;1235;2011;5,4058;2016;1192;2016
1;01;001;201;001177;1177;Palazzo Canavese;;TO;0;0;843;2011;5,0819;2016;842;2016
1;01;001;201;001178;1178;Pancalieri;;TO;0;0;1985;2011;15,8878;2016;2022;2016
1;01;001;201;001179;1179;Parella;;TO;0;0;468;2011;2,6886;2016;439;2016
1;01;001;201;001180;1180;Pavarolo;;TO;0;0;1119;2011;4,4056;2016;1087;2016
1;01;001;201;001181;1181;Pavone Canavese;;TO;0;0;3890;2011;11,5400;2016;3866;2016
1;01;001;201;001182;1182;Pecco;;TO;0;0;209;2011;1,5680;2016;226;2016
1;01;001;201;001183;1183;Pecetto Torinese;;TO;0;0;3877;2011;9,1730;2016;4023;2016
1;01;001;201;001184;1184;Perosa Argentina;;TO;0;0;3405;2011;26,0906;2016;3254;2016
1;01;001;201;001185;1185;Perosa Canavese;;TO;0;0;556;2011;4,7080;2016;546;2016
1;01;001;201;001186;1186;Perrero;;TO;0;0;723;2011;63,1830;2016;661;2016
1;01;001;201;001187;1187;Pertusio;;TO;0;0;773;2011;4,0041;2016;762;2016
1;01;001;201;001188;1188;Pessinetto;;TO;0;0;607;2011;5,3498;2016;593;2016
1;01;001;201;001189;1189;Pianezza;;TO;0;0;14169;2011;16,4634;2016;15165;2016
1;01;001;201;001190;1190;Pinasca;;TO;0;0;3049;2011;34,7183;2016;3016;2016
1;01;001;201;001191;1191;Pinerolo;;TO;0;0;34854;2011;50,3376;2016;35647;2016
1;01;001;201;001192;1192;Pino Torinese;;TO;0;0;8481;2011;21,8196;2016;8398;2016
1;01;001;201;001193;1193;Piobesi Torinese;;TO;0;0;3713;2011;19,6488;2016;3792;2016
1;01;001;201;001194;1194;Piossasco;;TO;0;0;18186;2011;40,1459;2016;18299;2016
1;01;001;201;001195;1195;Piscina;;TO;0;0;3450;2011;9,9034;2016;3388;2016
1;01;001;201;001196;1196;Piverone;;TO;0;0;1378;2011;11,0343;2016;1365;2016
1;01;001;201;001197;1197;Poirino;;TO;0;0;10220;2011;75,6186;2016;10497;2016
1;01;001;201;001198;1198;Pomaretto;;TO;0;0;1068;2011;8,5611;2016;1005;2016
1;01;001;201;001199;1199;Pont Canavese;;TO;0;0;3676;2011;19,0609;2016;3367;2016
1;01;001;201;001200;1200;Porte;;TO;0;0;1113;2011;4,4476;2016;1061;2016
1;01;001;201;001201;1201;Pragelato;;TO;0;0;724;2011;89,2017;2016;774;2016
1;01;001;201;001202;1202;Prali;;TO;0;0;272;2011;72,6092;2016;245;2016
1;01;001;201;001203;1203;Pralormo;;TO;0;0;1945;2011;29,8455;2016;1925;2016
1;01;001;201;001204;1204;Pramollo;;TO;0;0;242;2011;22,4785;2016;238;2016
1;01;001;201;001205;1205;Prarostino;;TO;0;0;1289;2011;10,5052;2016;1281;2016
1;01;001;201;001206;1206;Prascorsano;;TO;0;0;781;2011;6,2419;2016;760;2016
1;01;001;201;001207;1207;Pratiglione;;TO;0;0;548;2011;7,8803;2016;538;2016
1;01;001;201;001208;1208;Quagliuzzo;;TO;0;0;331;2011;2,0380;2016;336;2016
1;01;001;201;001209;1209;Quassolo;;TO;0;0;359;2011;3,9559;2016;352;2016
1;01;001;201;001210;1210;Quincinetto;;TO;0;0;1048;2011;17,7879;2016;1035;2016
1;01;001;201;001211;1211;Reano;;TO;0;0;1689;2011;6,6658;2016;1785;2016
1;01;001;201;001212;1212;Ribordone;;TO;0;0;67;2011;43,6002;2016;47;2016
1;01;001;201;001213;1213;Rivalba;;TO;0;0;1159;2011;10,8334;2016;1188;2016
1;01;001;201;001214;1214;Rivalta di Torino;;TO;0;0;19245;2011;25,1076;2016;19949;2016
1;01;001;201;001215;1215;Riva presso Chieri;;TO;0;0;4207;2011;35,8318;2016;4679;2016
1;01;001;201;001216;1216;Rivara;;TO;0;0;2666;2011;12,5838;2016;2638;2016
1;01;001;201;001217;1217;Rivarolo Canavese;;TO;0;0;12356;2011;32,2459;2016;12576;2016
1;01;001;201;001218;1218;Rivarossa;;TO;0;0;1626;2011;10,8733;2016;1623;2016
1;01;001;201;001219;1219;Rivoli;;TO;0;0;48632;2011;29,4998;2016;48129;2016
1;01;001;201;001220;1220;Robassomero;;TO;0;0;2976;2011;8,5756;2016;3107;2016
1;01;001;201;001221;1221;Rocca Canavese;;TO;0;0;1754;2011;14,1912;2016;1735;2016
1;01;001;201;001222;1222;Roletto;;TO;0;0;1989;2011;9,7039;2016;2016;2016
1;01;001;201;001223;1223;Romano Canavese;;TO;0;0;2937;2011;11,2106;2016;2709;2016
1;01;001;201;001224;1224;Ronco Canavese;;TO;0;0;313;2011;96,2686;2016;308;2016
1;01;001;201;001225;1225;Rondissone;;TO;0;0;1834;2011;10,6877;2016;1889;2016
1;01;001;201;001226;1226;Rorà;;TO;0;0;255;2011;12,4075;2016;237;2016
1;01;001;201;001227;1227;Roure;;TO;0;0;888;2011;59,3732;2016;840;2016
1;01;001;201;001228;1228;Rosta;;TO;0;0;4621;2011;9,0650;2016;4847;2016
1;01;001;201;001229;1229;Rubiana;;TO;0;0;2417;2011;26,9371;2016;2393;2016
1;01;001;201;001230;1230;Rueglio;;TO;0;0;773;2011;15,1002;2016;777;2016
1;01;001;201;001231;1231;Salassa;;TO;0;0;1795;2011;4,9519;2016;1896;2016
1;01;001;201;001232;1232;Salbertrand;;TO;0;0;579;2011;38,3198;2016;581;2016
1;01;001;201;001233;1233;Salerano Canavese;;TO;0;0;522;2011;2,1034;2016;487;2016
1;01;001;201;001234;1234;Salza di Pinerolo;;TO;0;0;78;2011;15,8859;2016;75;2016
1;01;001;201;001235;1235;Samone;;TO;0;0;1614;2011;2,4330;2016;1584;2016
1;01;001;201;001236;1236;San Benigno Canavese;;TO;0;0;5615;2011;22,2318;2016;6042;2016
1;01;001;201;001237;1237;San Carlo Canavese;;TO;0;0;3874;2011;20,9068;2016;4031;2016
1;01;001;201;001238;1238;San Colombano Belmonte;;TO;0;0;376;2011;3,3809;2016;370;2016
1;01;001;201;001239;1239;San Didero;;TO;0;0;566;2011;3,3037;2016;559;2016
1;01;001;201;001240;1240;San Francesco al Campo;;TO;0;0;4825;2011;14,9796;2016;4906;2016
1;01;001;201;001241;1241;Sangano;;TO;0;0;3807;2011;6,6513;2016;3739;2016
1;01;001;201;001242;1242;San Germano Chisone;;TO;0;0;1874;2011;15,8616;2016;1828;2016
1;01;001;201;001243;1243;San Gillio;;TO;0;0;3023;2011;8,8866;2016;3125;2016
1;01;001;201;001244;1244;San Giorgio Canavese;;TO;0;0;2705;2011;20,4049;2016;2617;2016
1;01;001;201;001245;1245;San Giorio di Susa;;TO;0;0;1040;2011;19,7366;2016;1028;2016
1;01;001;201;001246;1246;San Giusto Canavese;;TO;0;0;3397;2011;9,6132;2016;3379;2016
1;01;001;201;001247;1247;San Martino Canavese;;TO;0;0;851;2011;9,7933;2016;832;2016
1;01;001;201;001248;1248;San Maurizio Canavese;;TO;0;0;9646;2011;17,3442;2016;10259;2016
1;01;001;201;001249;1249;San Mauro Torinese;;TO;0;0;18925;2011;12,5517;2016;18930;2016
1;01;001;201;001250;1250;San Pietro Val Lemina;;TO;0;0;1430;2011;12,4446;2016;1451;2016
1;01;001;201;001251;1251;San Ponso;;TO;0;0;279;2011;2,1243;2016;267;2016
1;01;001;201;001252;1252;San Raffaele Cimena;;TO;0;0;3107;2011;11,1520;2016;3103;2016
1;01;001;201;001253;1253;San Sebastiano da Po;;TO;0;0;1909;2011;16,5766;2016;1943;2016
1;01;001;201;001254;1254;San Secondo di Pinerolo;;TO;0;0;3608;2011;12,5719;2016;3632;2016
1;01;001;201;001255;1255;Sant'Ambrogio di Torino;;TO;0;0;4753;2011;8,3683;2016;4711;2016
1;01;001;201;001256;1256;Sant'Antonino di Susa;;TO;0;0;4333;2011;9,7945;2016;4262;2016
1;01;001;201;001257;1257;Santena;;TO;0;0;10738;2011;16,1983;2016;10714;2016
1;01;001;201;001258;1258;Sauze di Cesana;;TO;0;0;219;2011;78,2772;2016;249;2016
1;01;001;201;001259;1259;Sauze d'Oulx;;TO;0;0;1111;2011;17,3112;2016;1082;2016
1;01;001;201;001260;1260;Scalenghe;;TO;0;0;3303;2011;31,6768;2016;3309;2016
1;01;001;201;001261;1261;Scarmagno;;TO;0;0;812;2011;8,0308;2016;854;2016
1;01;001;201;001262;1262;Sciolze;;TO;0;0;1513;2011;11,3557;2016;1454;2016
1;01;001;201;001263;1263;Sestriere;;TO;0;0;838;2011;25,9158;2016;936;2016
1;01;001;201;001264;1264;Settimo Rottaro;;TO;0;0;503;2011;6,0578;2016;480;2016
1;01;001;201;001265;1265;Settimo Torinese;;TO;0;0;46875;2011;32,3660;2016;47439;2016
1;01;001;201;001266;1266;Settimo Vittone;;TO;0;0;1543;2011;23,2604;2016;1553;2016
1;01;001;201;001267;1267;Sparone;;TO;0;0;1085;2011;29,6785;2016;1020;2016
1;01;001;201;001268;1268;Strambinello;;TO;0;0;264;2011;2,2140;2016;269;2016
1;01;001;201;001269;1269;Strambino;;TO;0;0;6336;2011;22,4686;2016;6212;2016
1;01;001;201;001270;1270;Susa;;TO;0;0;6629;2011;10,9879;2016;6400;2016
1;01;001;201;001271;1271;Tavagnasco;;TO;0;0;813;2011;8,6751;2016;778;2016
1;01;001;201;001272;1272;Torino;;TO;1;1;872367;2011;130,0091;2016;877088;2016
1;01;001;201;001273;1273;Torrazza Piemonte;;TO;0;0;2816;2011;9,8238;2016;2853;2016
1;01;001;201;001274;1274;Torre Canavese;;TO;0;0;589;2011;5,4545;2016;606;2016
1;01;001;201;001275;1275;Torre Pellice;;TO;0;0;4573;2011;21,0981;2016;4476;2016
1;01;001;201;001276;1276;Trana;;TO;0;0;3881;2011;16,4059;2016;3880;2016
1;01;001;201;001277;1277;Trausella;;TO;0;0;131;2011;12,2462;2016;118;2016
1;01;001;201;001278;1278;Traversella;;TO;0;0;350;2011;39,3597;2016;342;2016
1;01;001;201;001279;1279;Traves;;TO;0;0;553;2011;10,4544;2016;513;2016
1;01;001;201;001280;1280;Trofarello;;TO;0;0;10911;2011;12,3475;2016;10865;2016
1;01;001;201;001281;1281;Usseaux;;TO;0;0;185;2011;37,9669;2016;181;2016
1;01;001;201;001282;1282;Usseglio;;TO;0;0;219;2011;98,5375;2016;205;2016
1;01;001;201;001283;1283;Vaie;;TO;0;0;1455;2011;7,2292;2016;1447;2016
